CompteurTemps	Temps	Cx0	Cy0	
154	7.65	-0.0567642	-0.0200189	
155	7.7	-0.0566968	-0.020057	
156	7.75	-0.0567613	-0.0200364	
157	7.8	-0.0567681	-0.0200332	
158	7.85	-0.057022	-0.0200934	
159	7.9	-0.0568407	-0.0199974	
160	7.95	-0.056864	-0.019984	
161	8	-0.0567686	-0.0199038	
162	8.05	-0.0568125	-0.0199883	
163	8.1	-0.0565479	-0.0199373	
164	8.15	-0.0567602	-0.0199554	
165	8.2	-0.0568044	-0.0200255	
166	8.25	-0.0566847	-0.0199968	
167	8.3	-0.0566655	-0.0199459	
168	8.35	-0.0569069	-0.0200409	
169	8.4	-0.0566703	-0.0200395	
170	8.45	-0.0568962	-0.0198131	
171	8.5	-0.0564409	-0.0198031	
172	8.55	-0.0566807	-0.0197582	
173	8.6	-0.0567542	-0.0199387	
174	8.65	-0.0569393	-0.0198744	
175	8.7	-0.056741	-0.0199092	
176	8.75	-0.0565281	-0.0199165	
177	8.8	-0.0567784	-0.0199462	
178	8.85	-0.056768	-0.0199245	
179	8.9	-0.0563324	-0.0197568	
180	8.95	-0.0567889	-0.0198085	
181	9	-0.0566663	-0.0198681	
182	9.05	-0.0568589	-0.0199502	
183	9.1	-0.0568728	-0.019928	
184	9.15	-0.0570908	-0.019804	
185	9.2	-0.0566793	-0.0198116	
186	9.25	-0.0568165	-0.0197105	
187	9.3	-0.0567105	-0.0199667	
188	9.35	-0.0569082	-0.020014	
189	9.4	-0.0567242	-0.0199849	
190	9.45	-0.0567371	-0.019948	
191	9.5	-0.057138	-0.0199332	
192	9.55	-0.0571026	-0.0199163	
193	9.6	-0.0569499	-0.0196125	
194	9.65	-0.0568189	-0.0198659	
195	9.7	-0.0566818	-0.0198503	
196	9.75	-0.0570443	-0.0198783	
197	9.8	-0.0571954	-0.019926	
198	9.85	-0.057151	-0.0199707	
199	9.9	-0.056935	-0.0199665	
200	9.95	-0.0569243	-0.0199358	
201	10	-0.057018	-0.0198898	
202	10.05	-0.05694	-0.0198862	
203	10.1	-0.0571713	-0.0199413	
204	10.15	-0.0570088	-0.0199331	
205	10.2	-0.056836	-0.0198894	
206	10.25	-0.0568409	-0.0198614	
207	10.3	-0.056937	-0.0198468	
208	10.35	-0.0567656	-0.019845	
209	10.4	-0.0568228	-0.0197398	
210	10.45	-0.0569451	-0.0197692	
211	10.5	-0.0570164	-0.0198095	
212	10.55	-0.0567006	-0.0197627	
213	10.6	-0.0570278	-0.0198139	
214	10.65	-0.056981	-0.0197948	
215	10.7	-0.0569206	-0.019731	
216	10.75	-0.0569604	-0.0196774	
