Index	Camber	T1	T2	T3	Cp_moy	Cp_max	Reward
0	0.16152998159103082	0.07815195997131963	0.05700590322243454	0.06502589366220886	-0.24339453261648747	-0.02292177777777778	-0.19929998164874554
0	0.22733410585876931	0.046790954960826685	0.031775083171240295	0.03520726359899493	-0.43485534924731184	0.037826	-0.3403190793978495
0	0.4208321457648858	0.059222204194580096	0.02	0.043254780087259186	-0.5382231899641576	-0.0897388888888889	-0.4485263297491039
0	0.4399696181122018	0.0668193698406127	0.05765084327061518	0.04701195549356302	-0.3641284139784946	-0.021952333333333334	-0.29569319784946235
0	0.38132270739822827	0.04350049494137674	0.06736130101643122	0.035196451217040264	-0.39373922078853046	-0.10743288888888888	-0.3364779544086022
0	0.5863056540005551	0.03737596293556028	0.06432691265695918	0.061630145698485225	-0.4688944444444444	-0.22981333333333331	-0.4210782222222222
0	0.5509115944216529	0.048384910691098015	0.0561250713191292	0.04852129440027955	-0.4979956953405018	-0.22216444444444441	-0.4428294451612903
0	0.5967384723677311	0.03873285780828809	0.05909474359344944	0.050959108986740005	-0.5631869534050179	-0.21212666666666666	-0.4929748960573477
1	0.19153694630325432	0.07607132690754398	0.046502243469021425	0.06993719101621075	-0.26545962279569896	-0.010335955555555556	-0.2144348893476703
1	0.1869705999037522	0.08	0.059897516273376326	0.05698886089752214	-0.24477234731182793	-0.015506444444444444	-0.19891916673835125
1	0.30389654993684106	0.06911009927454698	0.06488505004361289	0.06288831790625944	-0.23899623046594984	-0.022506666666666664	-0.19569831770609322
1	0.3516457911945294	0.061778604299802226	0.06250034968004825	0.06520538928487318	-0.2646568125448029	-0.07926666666666667	-0.22757878336917564
1	0.2389169800670241	0.08	0.06664089361976247	0.04956873802092091	-0.24921551326164879	-0.02492422222222222	-0.20435725505376348
1	0.3056961826176823	0.06473075794317276	0.03563805521784119	0.04029180285484621	-0.40821364874551974	-0.04728255555555556	-0.33602743010752695
1	0.5269092342059434	0.06252501374725546	0.03202642990316898	0.04873220477308592	-0.6112619641577061	-0.29282444444444444	-0.5475744602150537
1	0.4747763115119732	0.06757806106326118	0.06013956763813789	0.060994510106530744	-0.339515458781362	-0.11126333333333334	-0.2938650336917563
2	0.21636090987344997	0.06296352960794234	0.05532942418598831	0.049803872108884484	-0.31458138613861386	-0.14319666666666667	-0.28030444224422446
2	0.09999999999999998	0.08	0.06488461903572114	0.06330138221977048	-0.2575808254480287	0.047050777777777775	-0.19665450480286742
2	0.20213959144336627	0.06699310959575007	0.08	0.07858072646291636	-0.24442181788530468	-0.007216544444444444	-0.19698076319713265
2	0.21096082921353274	0.08	0.07350412919777782	0.06295127972692431	-0.23740138928315413	0.004045877777777778	-0.18911193587096775
2	0.20319475127582795	0.08	0.053871407141133164	0.06031110472932099	-0.2477027369175627	-0.05274444444444444	-0.20871107842293907
2	0.30342710482138746	0.07833824139238396	0.06914852989191604	0.062481465791675996	-0.22871666845878136	-0.037412777777777774	-0.19045589032258065
2	0.13277762654182015	0.08	0.07752319740664784	0.03545685862885357	-0.2971582517921147	0.017923777777777778	-0.2341418458781362
2	0.376280784868129	0.0612575035342209	0.05249170822827979	0.05877378081366538	-0.31713198351254474	-0.05476455555555555	-0.26465849792114693
3	0.09999999999999998	0.0772486916951178	0.07384454675093778	0.06741305122122335	-0.2641756399283154	0.0013815111111111112	-0.2110642097204301
3	0.20546851221009968	0.06412996964437093	0.05929579022438586	0.07684085399280297	-0.25778999964157706	-0.04338988888888889	-0.21490997749103946
3	0.14000285242709615	0.0784350016750383	0.07708223303153768	0.06610525781447196	-0.2445311857706093	-0.0079617	-0.19721728861648746
3	0.28976505034187316	0.0694273630011804	0.07529720058769605	0.06202770793834646	-0.24355635985663082	-0.01871188888888889	-0.19858746566308244
3	0.23264861018715677	0.06749879805576094	0.06225175148418467	0.05057278334649799	-0.26151521397849464	-0.03121088888888889	-0.2154543489605735
3	0.24832314462999797	0.07316161225524284	0.0708997756437018	0.05586756620312355	-0.24477383272401435	0.00892341111111111	-0.19403438395698927
3	0.5198015648036471	0.06715476093426104	0.06356625420397899	0.05489271571142848	-0.38837147670250893	-0.13426666666666667	-0.33755051469534053
3	0.519503373881679	0.07816720277262708	0.061918838223919116	0.05659252075733568	-0.3905280788530465	-0.1418522222222222	-0.3407929075268817
4	0.09999999999999998	0.07164940636810772	0.05050955674917435	0.07013148062459817	-0.2727507647311828	-0.009883066666666666	-0.22017722511827958
4	0.14857335305187103	0.0714638404411377	0.07753433374916895	0.07154177792150244	-0.25395989967741933	0.044504999999999996	-0.1942669197419355
4	0.09999999999999998	0.08	0.06957294304163988	0.06490227684983371	-0.25757920358422937	-0.061684888888888886	-0.21840034064516128
4	0.15868460708745494	0.059445585563837645	0.07772145151692567	0.06596152181851145	-0.27381627387096774	0.008195322222222223	-0.21741395465232977
4	0.14690842030335258	0.06579768882749176	0.08	0.06804439409999263	-0.26301679426523294	-0.014202666666666666	-0.21325396874551972
4	0.24447941347903193	0.08	0.07251521861826109	0.07806261477920458	-0.2282401104659498	0.0073322	-0.18112564837275985
